Job_id,department,job_level,job_role,business_travel,business_travel_cat,distance_home,overtime,standard_hours
87,Sales,associate,Sales Representative,2,rarely,2,No,80
88,Research & Development,associate,Laboratory Technician,2,rarely,9,No,80
89,Research & Development,analyst,Healthcare Representative,2,rarely,2,No,80
90,Sales,specialist,Sales Executive,2,rarely,9,No,80
91,Research & Development,manager,Healthcare Representative,3,frequently,1,No,80
92,Sales,analyst,Sales Executive,2,rarely,21,Yes,80
93,Sales,analyst,Sales Executive,2,rarely,4,Yes,80
94,Research & Development,specialist,Healthcare Representative,3,frequently,1,Yes,80
95,Sales,analyst,Sales Executive,2,rarely,6,No,80
96,Research & Development,specialist,Research Director,2,rarely,2,No,80
97,Sales,analyst,Sales Executive,2,rarely,3,No,80
98,Sales,analyst,Sales Executive,1,non travel,4,No,80
99,Sales,manager,Sales Executive,2,rarely,10,No,80
100,Research & Development,analyst,Laboratory Technician,1,non travel,23,No,80
101,Human Resources,associate,Human Resources,2,rarely,6,Yes,80
102,Research & Development,associate,Research Scientist,2,rarely,1,No,80
103,Research & Development,associate,Laboratory Technician,3,frequently,6,Yes,80
104,Research & Development,analyst,Research Scientist,2,rarely,6,No,80
105,Research & Development,analyst,Healthcare Representative,1,non travel,2,No,80
106,Human Resources,director,Manager,1,non travel,2,No,80
107,Research & Development,director,Research Director,3,frequently,1,Yes,80
108,Sales,analyst,Sales Executive,2,rarely,5,Yes,80
109,Research & Development,associate,Research Scientist,2,rarely,7,No,80
110,Research & Development,associate,Laboratory Technician,2,rarely,15,No,80
111,Research & Development,specialist,Healthcare Representative,3,frequently,1,No,80
112,Research & Development,analyst,Laboratory Technician,3,frequently,7,Yes,80
113,Human Resources,manager,Manager,1,non travel,26,Yes,80
114,Research & Development,associate,Laboratory Technician,2,rarely,18,No,80
115,Research & Development,analyst,Research Scientist,2,rarely,6,No,80
116,Sales,specialist,Sales Executive,2,rarely,3,No,80
117,Research & Development,specialist,Manager,2,rarely,5,No,80
118,Sales,specialist,Sales Executive,3,frequently,11,No,80
119,Research & Development,associate,Laboratory Technician,2,rarely,3,No,80
120,Sales,manager,Manager,3,frequently,26,Yes,80
121,Research & Development,associate,Research Scientist,3,frequently,23,No,80
122,Sales,analyst,Sales Executive,1,non travel,22,No,80
123,Research & Development,associate,Research Scientist,2,rarely,14,Yes,80
124,Research & Development,director,Research Director,2,rarely,6,No,80
125,Sales,analyst,Sales Executive,2,rarely,6,Yes,80
126,Research & Development,associate,Research Scientist,2,rarely,6,No,80
127,Research & Development,specialist,Healthcare Representative,2,rarely,23,No,80
128,Sales,associate,Sales Representative,2,rarely,22,Yes,80
129,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
130,Research & Development,analyst,Manufacturing Director,2,rarely,20,No,80
131,Research & Development,associate,Research Scientist,3,frequently,28,No,80
132,Sales,specialist,Sales Executive,3,frequently,12,No,80
133,Sales,analyst,Sales Executive,2,rarely,20,Yes,80
134,Sales,specialist,Sales Executive,2,rarely,9,Yes,80
135,Human Resources,associate,Human Resources,2,rarely,25,No,80
136,Research & Development,analyst,Manufacturing Director,2,rarely,6,No,80
137,Research & Development,specialist,Manufacturing Director,3,frequently,8,No,80
138,Sales,analyst,Sales Executive,2,rarely,4,No,80
139,Sales,analyst,Sales Executive,2,rarely,28,No,80
140,Human Resources,analyst,Human Resources,2,rarely,9,Yes,80
141,Research & Development,associate,Laboratory Technician,2,rarely,9,No,80
142,Research & Development,associate,Research Scientist,2,rarely,29,No,80
143,Research & Development,analyst,Research Scientist,2,rarely,3,Yes,80
144,Research & Development,associate,Research Scientist,2,rarely,18,No,80
145,Sales,analyst,Sales Executive,3,frequently,9,No,80
146,Research & Development,associate,Research Scientist,2,rarely,5,No,80
147,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
148,Research & Development,manager,Manager,3,frequently,10,No,80
149,Research & Development,associate,Laboratory Technician,2,rarely,9,No,80
150,Research & Development,associate,Laboratory Technician,2,rarely,3,No,80
151,Research & Development,analyst,Research Scientist,3,frequently,26,No,80
152,Sales,specialist,Sales Executive,2,rarely,1,No,80
153,Sales,analyst,Sales Representative,2,rarely,6,Yes,80
154,Research & Development,analyst,Laboratory Technician,2,rarely,9,No,80
155,Sales,specialist,Sales Executive,3,frequently,8,No,80
156,Research & Development,analyst,Manufacturing Director,1,non travel,1,No,80
157,Research & Development,analyst,Manufacturing Director,2,rarely,7,No,80
158,Research & Development,associate,Research Scientist,2,rarely,9,Yes,80
159,Sales,specialist,Sales Executive,2,rarely,4,No,80
160,Sales,associate,Sales Representative,3,frequently,2,No,80
161,Research & Development,associate,Research Scientist,2,rarely,19,No,80
162,Research & Development,associate,Research Scientist,1,non travel,9,No,80
163,Research & Development,associate,Research Scientist,2,rarely,21,No,80
164,Research & Development,specialist,Healthcare Representative,2,rarely,24,Yes,80
165,Research & Development,associate,Research Scientist,1,non travel,3,Yes,80
166,Research & Development,director,Manager,2,rarely,11,No,80
167,Research & Development,associate,Research Scientist,2,rarely,14,No,80
168,Sales,specialist,Sales Executive,2,rarely,5,No,80
169,Sales,analyst,Sales Executive,2,rarely,1,No,80
170,Research & Development,associate,Research Scientist,2,rarely,6,No,80
171,Research & Development,associate,Research Scientist,2,rarely,17,Yes,80
172,Sales,associate,Sales Representative,3,frequently,1,No,80
173,Research & Development,associate,Laboratory Technician,3,frequently,3,No,80
174,Research & Development,analyst,Laboratory Technician,1,non travel,9,No,80
175,Sales,analyst,Sales Executive,2,rarely,4,Yes,80
176,Research & Development,associate,Research Scientist,2,rarely,8,Yes,80
177,Research & Development,associate,Research Scientist,2,rarely,2,No,80
178,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
179,Sales,specialist,Sales Executive,2,rarely,1,No,80
180,Research & Development,associate,Laboratory Technician,2,rarely,9,No,80
181,Research & Development,associate,Research Scientist,2,rarely,12,Yes,80
182,Research & Development,associate,Research Scientist,2,rarely,27,No,80
183,Sales,associate,Sales Representative,2,rarely,20,Yes,80
184,Research & Development,associate,Laboratory Technician,2,rarely,1,No,80
185,Research & Development,analyst,Manufacturing Director,2,rarely,13,No,80
186,Research & Development,associate,Research Scientist,2,rarely,14,No,80
187,Research & Development,director,Manager,2,rarely,4,No,80
188,Research & Development,director,Research Director,2,rarely,14,No,80
189,Research & Development,analyst,Manufacturing Director,3,frequently,2,No,80
190,Research & Development,manager,Healthcare Representative,2,rarely,3,No,80
191,Research & Development,director,Manager,2,rarely,1,No,80
192,Research & Development,associate,Research Scientist,2,rarely,9,No,80
193,Research & Development,analyst,Manufacturing Director,2,rarely,23,Yes,80
194,Research & Development,associate,Research Scientist,1,non travel,7,No,80
195,Research & Development,manager,Manager,1,non travel,2,No,80
196,Research & Development,associate,Research Scientist,2,rarely,21,Yes,80
197,Research & Development,analyst,Laboratory Technician,3,frequently,2,No,80
198,Research & Development,analyst,Manufacturing Director,1,non travel,21,No,80
199,Research & Development,analyst,Manufacturing Director,2,rarely,2,No,80
200,Research & Development,analyst,Manufacturing Director,2,rarely,29,No,80
201,Research & Development,analyst,Manufacturing Director,3,frequently,1,No,80
202,Research & Development,analyst,Manufacturing Director,1,non travel,18,Yes,80
203,Research & Development,associate,Research Scientist,3,frequently,10,Yes,80
204,Research & Development,analyst,Laboratory Technician,2,rarely,19,Yes,80
205,Research & Development,analyst,Healthcare Representative,2,rarely,29,Yes,80
206,Sales,specialist,Sales Executive,2,rarely,27,No,80
207,Research & Development,associate,Research Scientist,2,rarely,5,Yes,80
208,Research & Development,associate,Laboratory Technician,3,frequently,18,No,80
209,Research & Development,analyst,Healthcare Representative,1,non travel,9,No,80
210,Research & Development,specialist,Healthcare Representative,2,rarely,1,No,80
211,Sales,specialist,Sales Executive,2,rarely,4,No,80
212,Research & Development,specialist,Manufacturing Director,1,non travel,1,No,80
213,Sales,analyst,Sales Executive,3,frequently,20,No,80
214,Research & Development,specialist,Research Director,2,rarely,8,No,80
215,Research & Development,associate,Research Scientist,2,rarely,3,Yes,80
216,Sales,specialist,Manager,2,rarely,6,Yes,80
217,Sales,analyst,Sales Executive,3,frequently,26,No,80
218,Research & Development,associate,Research Scientist,2,rarely,1,No,80
219,Sales,specialist,Sales Executive,1,non travel,6,No,80
220,Sales,analyst,Sales Executive,2,rarely,3,No,80
221,Research & Development,analyst,Laboratory Technician,2,rarely,5,No,80
222,Research & Development,associate,Research Scientist,2,rarely,4,No,80
223,Research & Development,specialist,Research Director,3,frequently,11,Yes,80
224,Sales,specialist,Sales Executive,2,rarely,3,No,80
225,Research & Development,analyst,Manufacturing Director,1,non travel,1,No,80
226,Research & Development,associate,Research Scientist,2,rarely,3,No,80
227,Sales,associate,Sales Representative,3,frequently,4,No,80
228,Sales,specialist,Sales Executive,3,frequently,1,No,80
229,Sales,specialist,Sales Executive,3,frequently,1,No,80
230,Research & Development,associate,Research Scientist,2,rarely,18,Yes,80
231,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
232,Research & Development,director,Manager,2,rarely,4,No,80
233,Human Resources,associate,Human Resources,2,rarely,6,No,80
234,Sales,director,Manager,2,rarely,1,No,80
235,Research & Development,associate,Laboratory Technician,2,rarely,14,Yes,80
236,Sales,manager,Manager,2,rarely,16,Yes,80
237,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
238,Sales,director,Manager,1,non travel,2,Yes,80
239,Sales,associate,Sales Representative,2,rarely,4,No,80
240,Research & Development,associate,Laboratory Technician,2,rarely,1,Yes,80
241,Research & Development,associate,Laboratory Technician,2,rarely,1,No,80
242,Sales,analyst,Sales Executive,1,non travel,26,No,80
243,Research & Development,analyst,Research Scientist,2,rarely,19,No,80
244,Research & Development,analyst,Research Scientist,2,rarely,24,No,80
245,Research & Development,director,Manager,2,rarely,1,No,80
246,Research & Development,specialist,Research Director,3,frequently,3,No,80
247,Research & Development,associate,Research Scientist,2,rarely,5,No,80
248,Research & Development,analyst,Manufacturing Director,2,rarely,2,No,80
249,Research & Development,associate,Research Scientist,2,rarely,1,No,80
250,Research & Development,analyst,Manufacturing Director,3,frequently,7,No,80
251,Research & Development,specialist,Manufacturing Director,3,frequently,10,No,80
252,Research & Development,specialist,Healthcare Representative,3,frequently,2,No,80
253,Research & Development,associate,Research Scientist,2,rarely,15,No,80
254,Research & Development,analyst,Research Scientist,2,rarely,17,Yes,80
255,Sales,analyst,Sales Executive,2,rarely,20,No,80
256,Research & Development,analyst,Manufacturing Director,2,rarely,1,No,80
257,Research & Development,associate,Laboratory Technician,2,rarely,2,Yes,80
258,Research & Development,director,Research Director,2,rarely,2,No,80
259,Research & Development,associate,Research Scientist,2,rarely,1,No,80
260,Research & Development,associate,Laboratory Technician,3,frequently,29,No,80
261,Research & Development,associate,Laboratory Technician,3,frequently,7,No,80
262,Sales,analyst,Sales Executive,1,non travel,2,No,80
263,Research & Development,analyst,Laboratory Technician,2,rarely,2,No,80
264,Sales,manager,Manager,2,rarely,2,Yes,80
265,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
266,Sales,analyst,Sales Executive,2,rarely,2,No,80
267,Research & Development,analyst,Healthcare Representative,2,rarely,23,No,80
268,Research & Development,analyst,Healthcare Representative,1,non travel,5,No,80
269,Research & Development,manager,Healthcare Representative,2,rarely,20,Yes,80
270,Research & Development,associate,Laboratory Technician,2,rarely,6,No,80
271,Research & Development,director,Manager,2,rarely,1,Yes,80
272,Research & Development,specialist,Manager,1,non travel,29,Yes,80
273,Research & Development,associate,Research Scientist,2,rarely,9,No,80
274,Sales,analyst,Sales Executive,2,rarely,6,No,80
275,Research & Development,associate,Research Scientist,2,rarely,3,No,80
276,Research & Development,specialist,Research Director,1,non travel,1,Yes,80
277,Research & Development,specialist,Manager,2,rarely,22,No,80
278,Sales,analyst,Sales Executive,2,rarely,7,Yes,80
279,Research & Development,analyst,Manufacturing Director,3,frequently,1,No,80
280,Research & Development,director,Research Director,2,rarely,4,No,80
281,Research & Development,manager,Research Director,2,rarely,3,Yes,80
282,Sales,analyst,Sales Executive,2,rarely,1,No,80
283,Sales,analyst,Sales Executive,3,frequently,2,No,80
284,Research & Development,analyst,Laboratory Technician,2,rarely,20,Yes,80
285,Research & Development,analyst,Healthcare Representative,3,frequently,11,Yes,80
286,Research & Development,associate,Research Scientist,2,rarely,1,No,80
287,Research & Development,associate,Laboratory Technician,3,frequently,24,Yes,80
288,Research & Development,analyst,Healthcare Representative,2,rarely,23,No,80
289,Research & Development,associate,Laboratory Technician,2,rarely,16,Yes,80
290,Research & Development,associate,Research Scientist,2,rarely,8,No,80
291,Research & Development,director,Research Director,3,frequently,10,Yes,80
292,Research & Development,analyst,Research Scientist,2,rarely,3,No,80
293,Sales,associate,Sales Representative,3,frequently,5,No,80
294,Sales,analyst,Sales Executive,2,rarely,4,Yes,80
295,Research & Development,associate,Research Scientist,3,frequently,9,Yes,80
296,Sales,manager,Sales Executive,3,frequently,26,No,80
297,Research & Development,associate,Laboratory Technician,2,rarely,3,No,80
298,Sales,specialist,Sales Executive,2,rarely,16,No,80
299,Research & Development,associate,Laboratory Technician,3,frequently,18,No,80
300,Research & Development,analyst,Manufacturing Director,2,rarely,2,No,80
301,Sales,manager,Manager,2,rarely,2,No,80
302,Sales,associate,Sales Representative,2,rarely,10,No,80
303,Research & Development,analyst,Healthcare Representative,2,rarely,16,No,80
304,Sales,analyst,Sales Executive,2,rarely,7,No,80
305,Research & Development,specialist,Healthcare Representative,2,rarely,1,No,80
306,Research & Development,analyst,Laboratory Technician,1,non travel,24,No,80
307,Sales,analyst,Sales Executive,2,rarely,7,No,80
308,Research & Development,specialist,Research Director,2,rarely,25,No,80
309,Research & Development,analyst,Healthcare Representative,1,non travel,1,Yes,80
310,Research & Development,associate,Research Scientist,2,rarely,5,Yes,80
311,Human Resources,analyst,Human Resources,2,rarely,2,No,80
312,Research & Development,specialist,Laboratory Technician,3,frequently,7,No,80
313,Research & Development,associate,Research Scientist,2,rarely,2,Yes,80
314,Research & Development,specialist,Manager,3,frequently,5,No,80
315,Research & Development,manager,Manager,2,rarely,10,Yes,80
316,Research & Development,associate,Laboratory Technician,3,frequently,10,No,80
317,Research & Development,manager,Healthcare Representative,2,rarely,1,Yes,80
318,Research & Development,analyst,Research Scientist,2,rarely,8,No,80
319,Research & Development,associate,Research Scientist,2,rarely,5,Yes,80
320,Sales,analyst,Sales Executive,2,rarely,8,Yes,80
321,Sales,analyst,Sales Executive,2,rarely,2,Yes,80
322,Sales,analyst,Sales Executive,2,rarely,7,No,80
323,Research & Development,analyst,Research Scientist,2,rarely,2,No,80
324,Research & Development,associate,Research Scientist,2,rarely,2,Yes,80
325,Research & Development,analyst,Research Scientist,2,rarely,28,No,80
326,Research & Development,specialist,Manufacturing Director,3,frequently,7,No,80
327,Research & Development,director,Manager,3,frequently,7,No,80
328,Sales,analyst,Sales Executive,2,rarely,3,Yes,80
329,Sales,analyst,Sales Executive,3,frequently,10,No,80
330,Research & Development,director,Research Director,2,rarely,5,No,80
331,Research & Development,analyst,Laboratory Technician,3,frequently,10,No,80
332,Sales,analyst,Sales Executive,1,non travel,1,Yes,80
333,Research & Development,analyst,Research Scientist,3,frequently,20,No,80
334,Research & Development,specialist,Healthcare Representative,2,rarely,7,No,80
335,Research & Development,analyst,Research Scientist,2,rarely,8,No,80
336,Sales,analyst,Sales Executive,2,rarely,1,Yes,80
337,Research & Development,associate,Laboratory Technician,2,rarely,8,Yes,80
338,Research & Development,associate,Laboratory Technician,2,rarely,9,No,80
339,Sales,analyst,Sales Executive,2,rarely,5,No,80
340,Sales,analyst,Sales Executive,2,rarely,8,No,80
341,Research & Development,analyst,Manufacturing Director,2,rarely,5,No,80
342,Research & Development,specialist,Research Director,2,rarely,15,Yes,80
343,Research & Development,specialist,Manufacturing Director,2,rarely,7,Yes,80
344,Sales,analyst,Sales Executive,2,rarely,10,Yes,80
345,Research & Development,specialist,Manufacturing Director,2,rarely,5,No,80
346,Research & Development,associate,Research Scientist,2,rarely,26,No,80
347,Research & Development,analyst,Manufacturing Director,2,rarely,6,Yes,80
348,Sales,analyst,Sales Representative,3,frequently,4,No,80
349,Research & Development,manager,Research Director,2,rarely,23,No,80
350,Sales,analyst,Sales Executive,1,non travel,2,No,80
351,Human Resources,associate,Human Resources,2,rarely,2,Yes,80
352,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
353,Sales,specialist,Manager,2,rarely,29,No,80
354,Research & Development,analyst,Research Scientist,2,rarely,6,Yes,80
355,Sales,analyst,Sales Executive,1,non travel,25,Yes,80
356,Sales,analyst,Sales Executive,2,rarely,1,No,80
357,Research & Development,analyst,Healthcare Representative,2,rarely,2,No,80
358,Sales,associate,Sales Representative,3,frequently,1,Yes,80
359,Sales,analyst,Sales Executive,1,non travel,1,No,80
360,Sales,specialist,Sales Executive,3,frequently,3,No,80
361,Research & Development,analyst,Healthcare Representative,2,rarely,1,No,80
362,Research & Development,associate,Laboratory Technician,2,rarely,10,Yes,80
363,Sales,associate,Sales Representative,1,non travel,9,No,80
364,Sales,associate,Sales Representative,2,rarely,5,Yes,80
365,Research & Development,associate,Laboratory Technician,2,rarely,10,No,80
366,Research & Development,analyst,Manufacturing Director,1,non travel,7,No,80
367,Sales,analyst,Sales Executive,3,frequently,4,No,80
368,Research & Development,specialist,Healthcare Representative,2,rarely,10,No,80
369,Sales,analyst,Sales Executive,2,rarely,22,Yes,80
370,Research & Development,associate,Research Scientist,2,rarely,9,Yes,80
371,Sales,associate,Sales Representative,2,rarely,12,No,80
372,Research & Development,associate,Research Scientist,2,rarely,23,No,80
373,Research & Development,analyst,Healthcare Representative,2,rarely,9,No,80
374,Research & Development,associate,Laboratory Technician,2,rarely,1,No,80
375,Sales,analyst,Sales Executive,2,rarely,9,No,80
376,Research & Development,specialist,Healthcare Representative,2,rarely,7,No,80
377,Sales,analyst,Sales Executive,2,rarely,14,No,80
378,Research & Development,associate,Research Scientist,2,rarely,2,No,80
379,Sales,analyst,Sales Executive,1,non travel,19,Yes,80
380,Research & Development,manager,Manager,2,rarely,2,Yes,80
381,Sales,analyst,Sales Executive,2,rarely,10,Yes,80
382,Sales,associate,Sales Representative,2,rarely,2,No,80
383,Research & Development,associate,Research Scientist,3,frequently,3,No,80
384,Research & Development,associate,Research Scientist,2,rarely,11,No,80
385,Sales,specialist,Sales Executive,2,rarely,2,No,80
386,Research & Development,associate,Research Scientist,3,frequently,4,Yes,80
387,Research & Development,associate,Laboratory Technician,2,rarely,14,No,80
388,Sales,analyst,Sales Executive,2,rarely,2,No,80
389,Research & Development,associate,Laboratory Technician,2,rarely,1,No,80
390,Research & Development,analyst,Manufacturing Director,2,rarely,10,Yes,80
391,Research & Development,manager,Research Director,2,rarely,12,No,80
392,Research & Development,analyst,Laboratory Technician,2,rarely,2,No,80
393,Research & Development,director,Research Director,2,rarely,5,No,80
394,Sales,analyst,Sales Executive,1,non travel,4,No,80
395,Research & Development,analyst,Manufacturing Director,2,rarely,7,No,80
396,Research & Development,associate,Laboratory Technician,3,frequently,21,No,80
397,Research & Development,analyst,Healthcare Representative,2,rarely,8,Yes,80
398,Sales,analyst,Sales Executive,2,rarely,4,Yes,80
399,Research & Development,analyst,Research Scientist,1,non travel,25,Yes,80
400,Research & Development,associate,Laboratory Technician,2,rarely,1,No,80
401,Research & Development,director,Manager,3,frequently,1,Yes,80
402,Sales,manager,Sales Executive,3,frequently,6,No,80
403,Sales,analyst,Sales Executive,2,rarely,12,No,80
404,Sales,specialist,Sales Executive,2,rarely,1,No,80
405,Research & Development,analyst,Laboratory Technician,2,rarely,17,No,80
406,Research & Development,associate,Laboratory Technician,2,rarely,3,No,80
407,Research & Development,specialist,Manufacturing Director,2,rarely,3,Yes,80
408,Research & Development,associate,Research Scientist,2,rarely,10,No,80
409,Research & Development,manager,Manager,2,rarely,4,No,80
410,Research & Development,analyst,Research Scientist,3,frequently,29,No,80
411,Research & Development,analyst,Manufacturing Director,2,rarely,2,No,80
412,Research & Development,director,Manager,2,rarely,7,No,80
413,Research & Development,analyst,Manufacturing Director,2,rarely,18,No,80
414,Research & Development,analyst,Healthcare Representative,3,frequently,28,No,80
415,Sales,associate,Sales Representative,2,rarely,1,Yes,80
416,Sales,associate,Sales Representative,3,frequently,6,No,80
417,Research & Development,associate,Laboratory Technician,3,frequently,2,Yes,80
418,Sales,director,Manager,2,rarely,2,No,80
419,Research & Development,associate,Research Scientist,2,rarely,23,No,80
420,Research & Development,associate,Laboratory Technician,1,non travel,3,No,80
421,Research & Development,specialist,Research Director,2,rarely,3,No,80
422,Research & Development,associate,Research Scientist,2,rarely,25,No,80
423,Human Resources,associate,Human Resources,2,rarely,2,No,80
424,Sales,specialist,Sales Executive,1,non travel,22,No,80
425,Sales,manager,Manager,2,rarely,29,No,80
426,Research & Development,manager,Manager,2,rarely,29,No,80
427,Research & Development,associate,Laboratory Technician,1,non travel,2,No,80
428,Sales,specialist,Sales Executive,3,frequently,28,No,80
429,Research & Development,analyst,Manufacturing Director,2,rarely,2,No,80
430,Research & Development,manager,Research Director,2,rarely,2,No,80
431,Research & Development,associate,Laboratory Technician,2,rarely,22,No,80
432,Research & Development,analyst,Laboratory Technician,2,rarely,8,No,80
433,Research & Development,associate,Research Scientist,2,rarely,2,No,80
434,Sales,specialist,Sales Executive,2,rarely,10,Yes,80
435,Research & Development,specialist,Manufacturing Director,2,rarely,9,No,80
436,Research & Development,specialist,Manager,2,rarely,15,Yes,80
437,Research & Development,associate,Laboratory Technician,2,rarely,10,No,80
438,Sales,associate,Sales Representative,2,rarely,7,No,80
439,Research & Development,specialist,Healthcare Representative,2,rarely,16,Yes,80
440,Research & Development,specialist,Healthcare Representative,3,frequently,20,No,80
441,Human Resources,specialist,Human Resources,3,frequently,23,Yes,80
442,Research & Development,associate,Laboratory Technician,3,frequently,5,No,80
443,Sales,specialist,Sales Executive,1,non travel,10,No,80
444,Research & Development,associate,Laboratory Technician,3,frequently,4,No,80
445,Sales,analyst,Sales Executive,2,rarely,2,No,80
446,Sales,manager,Manager,2,rarely,18,No,80
447,Sales,analyst,Sales Executive,1,non travel,10,No,80
448,Sales,analyst,Sales Executive,2,rarely,1,No,80
449,Research & Development,manager,Manufacturing Director,2,rarely,6,No,80
450,Research & Development,associate,Laboratory Technician,3,frequently,8,No,80
451,Sales,analyst,Sales Executive,2,rarely,2,Yes,80
