employee_id,attrition,age,age_interval,gender,education,education_cat,education_area,marital_status,department,job_level,job_role,business_travel,business_travel_cat,distance_home,distance_interval,overtime,standard_hours,daily_rate,hourly_rate,monthly_income,monthly_rate,annual_income,companies_worked,salary_hike_per,stock_option,working_years,training_lastyear,years_company,years_curr_role,years_last_promotion,years_curr_manager,environment_satisf,environment_satisf_cat,worklife_balance,worklife_balance_cat,job_involvement,job_involvement_cat,job_satisfaction,job_satisf_cat,performance_rating,performance_rating_cat,relationship_satisf,relationship_satisf_cat
RDO0011,No,35,30-39,Male,3,Bachelor,Medical,Married,Research & Development,associate,Laboratory Technician,2,rarely,16,16-20,No,80,809,84,2426,16479,33964,0,13,1,6,5,5,4,0,3,1,Low,3,Better,4,Very High,2,Medium,3,Excellent,3,High
RDO0012,No,29,18-29,Female,2,College,Life Sciences,Single,Research & Development,analyst,Laboratory Technician,2,rarely,15,16-20,Yes,80,153,49,4193,12682,58702,0,12,0,10,3,9,5,0,8,4,Very High,3,Better,2,Medium,3,High,3,Excellent,4,Very High
RDO0013,No,31,30-39,Male,1,Below College,Life Sciences,Divorced,Research & Development,associate,Research Scientist,2,rarely,26,20+,No,80,670,31,2911,15170,40754,1,17,1,5,1,5,2,4,3,1,Low,2,Good,3,High,3,High,3,Excellent,4,Very High
RDO0014,No,34,30-39,Male,2,College,Medical,Divorced,Research & Development,associate,Laboratory Technician,2,rarely,19,16-20,No,80,1346,93,2661,8758,37254,0,11,1,3,2,2,2,1,2,2,Medium,3,Better,3,High,4,Very High,3,Excellent,3,High
RDO0015,Yes,28,18-29,Male,3,Bachelor,Life Sciences,Single,Research & Development,associate,Laboratory Technician,2,rarely,24,20+,Yes,80,103,50,2028,12947,28392,5,14,0,6,4,4,2,0,3,3,High,3,Better,2,Medium,3,High,3,Excellent,2,Medium
RDO0016,No,29,18-29,Female,4,Master,Life Sciences,Divorced,Research & Development,specialist,Manufacturing Director,2,rarely,21,20+,No,80,1389,51,9980,10195,139720,1,11,1,10,1,10,9,8,8,2,Medium,3,Better,4,Very High,1,Low,3,Excellent,3,High
RDO0017,No,32,30-39,Male,2,College,Life Sciences,Divorced,Research & Development,associate,Research Scientist,2,rarely,5,6-10,Yes,80,334,80,3298,15053,46172,0,12,2,7,5,6,2,0,5,1,Low,2,Good,4,Very High,2,Medium,3,Excellent,4,Very High
RDO0018,No,22,18-29,Male,2,College,Medical,Divorced,Research & Development,associate,Laboratory Technician,1,non travel,16,16-20,Yes,80,1123,96,2935,7324,41090,1,13,2,1,2,1,0,0,0,4,Very High,2,Good,4,Very High,4,Very High,3,Excellent,2,Medium
RDO0019,No,53,50-59,Female,4,Master,Life Sciences,Married,Sales,manager,Manager,2,rarely,2,1-5,No,80,1219,78,15427,22021,215978,2,16,0,31,3,25,8,3,7,1,Low,3,Better,2,Medium,4,Very High,3,Excellent,3,High
RDO0020,No,38,30-39,Male,3,Bachelor,Life Sciences,Single,Research & Development,associate,Research Scientist,2,rarely,2,1-5,Yes,80,371,45,3944,4306,55216,5,11,0,6,3,3,2,1,2,4,Very High,3,Better,3,High,4,Very High,3,Excellent,3,High
RDO0021,No,24,18-29,Female,2,College,Other,Divorced,Research & Development,analyst,Manufacturing Director,1,non travel,11,11-15,No,80,673,96,4011,8232,56154,0,18,1,5,5,4,2,1,3,1,Low,2,Good,4,Very High,3,High,3,Excellent,4,Very High
RDO0022,Yes,36,30-39,Male,4,Master,Life Sciences,Single,Sales,associate,Sales Representative,2,rarely,9,6-10,No,80,1218,82,3407,6986,47698,7,23,0,10,4,5,3,0,3,3,High,3,Better,2,Medium,1,Low,4,Outstanding,2,Medium
RDO0023,No,34,30-39,Female,4,Master,Life Sciences,Single,Research & Development,specialist,Research Director,2,rarely,7,6-10,No,80,419,53,11994,21293,167916,0,11,0,13,4,12,6,2,11,1,Low,3,Better,3,High,2,Medium,3,Excellent,3,High
RDO0024,No,21,18-29,Male,2,College,Life Sciences,Single,Research & Development,associate,Research Scientist,2,rarely,15,16-20,No,80,391,96,1232,19281,17248,1,14,0,0,6,0,0,0,0,3,High,3,Better,3,High,4,Very High,3,Excellent,4,Very High
RDO0025,Yes,34,30-39,Male,1,Below College,Medical,Single,Research & Development,associate,Research Scientist,2,rarely,6,6-10,No,80,699,83,2960,17102,41440,2,11,0,8,2,4,2,1,3,2,Medium,3,Better,3,High,1,Low,3,Excellent,3,High
RDO0026,No,53,50-59,Female,3,Bachelor,Other,Divorced,Research & Development,director,Manager,2,rarely,5,6-10,No,80,1282,58,19094,10735,267316,4,11,1,26,3,14,13,4,8,3,High,2,Good,3,High,3,High,3,Excellent,4,Very High
RDO0027,Yes,32,30-39,Female,1,Below College,Life Sciences,Single,Research & Development,associate,Research Scientist,3,frequently,16,16-20,Yes,80,1125,72,3919,4681,54866,1,22,0,10,5,10,2,6,7,2,Medium,3,Better,1,Low,1,Low,4,Outstanding,2,Medium
RDO0028,No,42,40-49,Male,4,Master,Marketing,Married,Sales,analyst,Sales Executive,2,rarely,8,6-10,No,80,691,48,6825,21173,95550,0,11,1,10,2,9,7,4,2,3,High,3,Better,3,High,2,Medium,3,Excellent,4,Very High
RDO0029,No,44,40-49,Female,4,Master,Medical,Married,Research & Development,specialist,Healthcare Representative,2,rarely,7,6-10,No,80,477,42,10248,2094,143472,3,14,1,24,4,22,6,5,17,1,Low,3,Better,2,Medium,4,Very High,3,Excellent,4,Very High
RDO0030,No,46,40-49,Female,4,Master,Marketing,Single,Sales,director,Manager,2,rarely,2,1-5,No,80,705,83,18947,22822,265258,3,12,0,22,2,2,2,2,1,2,Medium,2,Good,3,High,1,Low,3,Excellent,4,Very High
RDO0031,No,33,30-39,Male,3,Bachelor,Medical,Single,Research & Development,associate,Laboratory Technician,2,rarely,2,1-5,No,80,924,78,2496,6670,34944,4,11,0,7,3,1,1,0,0,3,High,3,Better,3,High,4,Very High,3,Excellent,4,Very High
RDO0032,No,44,40-49,Male,4,Master,Other,Married,Research & Development,analyst,Healthcare Representative,2,rarely,10,11-15,Yes,80,1459,41,6465,19121,90510,2,13,0,9,5,4,2,1,3,4,Very High,4,Best,3,High,4,Very High,3,Excellent,4,Very High
RDO0033,No,30,30-39,Male,2,College,Medical,Single,Research & Development,associate,Laboratory Technician,2,rarely,9,6-10,No,80,125,83,2206,16117,30884,1,13,0,10,5,10,0,1,8,4,Very High,3,Better,2,Medium,3,High,3,Excellent,1,Low
RDO0034,Yes,39,30-39,Male,3,Bachelor,Technical Degree,Married,Sales,analyst,Sales Representative,2,rarely,5,6-10,No,80,895,56,2086,3335,29204,3,14,1,19,6,1,0,0,0,4,Very High,4,Best,3,High,4,Very High,3,Excellent,3,High
RDO0035,Yes,24,18-29,Male,3,Bachelor,Medical,Married,Research & Development,associate,Research Scientist,2,rarely,1,1-5,Yes,80,813,61,2293,3020,32102,2,16,1,6,2,2,0,2,0,2,Medium,2,Good,3,High,4,Very High,3,Excellent,1,Low
RDO0036,No,43,40-49,Female,2,College,Medical,Divorced,Research & Development,associate,Research Scientist,2,rarely,2,1-5,No,80,1273,72,2645,21923,37030,1,12,2,6,3,5,3,1,4,4,Very High,2,Good,4,Very High,3,High,3,Excellent,4,Very High
RDO0037,Yes,50,50-59,Male,2,College,Marketing,Married,Sales,associate,Sales Representative,2,rarely,3,1-5,Yes,80,869,86,2683,3810,37562,1,14,0,3,2,3,2,0,2,1,Low,3,Better,2,Medium,3,High,3,Excellent,3,High
RDO0038,No,35,30-39,Female,3,Bachelor,Marketing,Married,Sales,associate,Sales Representative,2,rarely,2,1-5,No,80,890,97,2014,9687,28196,1,13,0,2,3,2,2,2,2,4,Very High,3,Better,3,High,4,Very High,3,Excellent,1,Low
RDO0039,No,36,30-39,Female,4,Master,Life Sciences,Married,Research & Development,associate,Research Scientist,2,rarely,5,6-10,Yes,80,852,82,3419,13072,47866,9,14,1,6,3,1,1,0,0,2,Medium,4,Best,2,Medium,1,Low,3,Excellent,4,Very High
RDO0040,No,33,30-39,Female,3,Bachelor,Life Sciences,Married,Sales,analyst,Sales Executive,3,frequently,1,1-5,No,80,1141,42,5376,3193,75264,2,19,2,10,3,5,3,1,3,3,High,3,Better,4,Very High,1,Low,3,Excellent,1,Low
RDO0041,No,35,30-39,Male,2,College,Other,Divorced,Research & Development,associate,Laboratory Technician,2,rarely,4,1-5,No,80,464,75,1951,10910,27314,1,12,1,1,3,1,0,0,0,3,High,3,Better,3,High,4,Very High,3,Excellent,3,High
RDO0042,No,27,18-29,Female,4,Master,Life Sciences,Divorced,Research & Development,associate,Laboratory Technician,2,rarely,2,1-5,No,80,1240,33,2341,19715,32774,1,13,1,1,6,1,0,0,0,4,Very High,3,Better,3,High,1,Low,3,Excellent,4,Very High
RDO0043,Yes,26,18-29,Male,3,Bachelor,Life Sciences,Single,Research & Development,associate,Laboratory Technician,2,rarely,25,20+,No,80,1357,48,2293,10558,32102,1,12,0,1,2,1,0,0,1,1,Low,2,Good,1,Low,3,High,3,Excellent,3,High
RDO0044,No,27,18-29,Male,3,Bachelor,Life Sciences,Single,Sales,specialist,Sales Executive,3,frequently,8,6-10,No,80,994,37,8726,2975,122164,1,15,0,9,0,9,8,1,7,4,Very High,3,Better,3,High,3,High,3,Excellent,4,Very High
RDO0045,No,30,30-39,Female,2,College,Medical,Single,Research & Development,analyst,Laboratory Technician,3,frequently,1,1-5,No,80,721,58,4011,10781,56154,1,23,0,12,2,12,8,3,7,3,High,3,Better,3,High,4,Very High,4,Outstanding,4,Very High
RDO0046,Yes,41,40-49,Female,3,Bachelor,Technical Degree,Married,Research & Development,director,Research Director,2,rarely,12,11-15,No,80,1360,49,19545,16280,273630,1,12,0,23,0,22,15,15,8,2,Medium,3,Better,3,High,3,High,3,Excellent,4,Very High
RDO0047,No,34,30-39,Male,4,Master,Marketing,Single,Sales,analyst,Sales Executive,1,non travel,23,20+,No,80,1065,72,4568,10034,63952,0,20,0,10,2,9,5,8,7,2,Medium,3,Better,3,High,3,High,4,Outstanding,3,High
RDO0048,No,37,30-39,Male,2,College,Life Sciences,Married,Research & Development,associate,Research Scientist,2,rarely,19,16-20,No,80,408,73,3022,10227,42308,4,21,0,8,1,1,0,0,0,2,Medium,3,Better,3,High,2,Medium,4,Outstanding,1,Low
RDO0049,No,46,40-49,Male,4,Master,Marketing,Single,Sales,analyst,Sales Executive,3,frequently,5,6-10,Yes,80,1211,98,5772,20445,80808,4,21,0,14,4,9,6,0,8,1,Low,3,Better,3,High,4,Very High,4,Outstanding,3,High
RDO0050,No,35,30-39,Male,1,Below College,Life Sciences,Married,Research & Development,associate,Laboratory Technician,2,rarely,8,6-10,No,80,1229,36,2269,4892,31766,1,19,0,1,2,1,0,0,1,4,Very High,3,Better,4,Very High,4,Very High,3,Excellent,4,Very High
RDO0051,Yes,48,40-49,Male,2,College,Life Sciences,Single,Research & Development,specialist,Laboratory Technician,2,rarely,1,1-5,Yes,80,626,98,5381,19294,75334,9,13,0,23,2,1,0,0,0,1,Low,3,Better,2,Medium,3,High,3,Excellent,4,Very High
RDO0052,Yes,28,18-29,Male,4,Master,Technical Degree,Single,Research & Development,associate,Laboratory Technician,2,rarely,5,6-10,Yes,80,1434,50,3441,11179,48174,1,13,0,2,3,2,2,2,2,3,High,2,Good,3,High,3,High,3,Excellent,3,High
RDO0053,No,44,40-49,Female,5,Doctor,Marketing,Divorced,Sales,analyst,Sales Executive,2,rarely,1,1-5,Yes,80,1488,75,5454,4009,76356,5,21,1,9,2,4,3,1,3,2,Medium,2,Good,3,High,1,Low,4,Outstanding,3,High
RDO0054,No,35,30-39,Male,2,College,Medical,Married,Research & Development,specialist,Healthcare Representative,1,non travel,11,11-15,Yes,80,1097,79,9884,8302,138376,2,13,1,10,3,4,0,2,3,3,High,3,Better,2,Medium,1,Low,3,Excellent,3,High
RDO0055,No,26,18-29,Female,3,Bachelor,Marketing,Married,Sales,analyst,Sales Executive,2,rarely,23,20+,Yes,80,1443,47,4157,21436,58198,7,19,1,5,2,2,2,0,0,3,High,2,Good,2,Medium,4,Very High,3,Excellent,3,High
RDO0056,No,33,30-39,Female,2,College,Life Sciences,Single,Research & Development,specialist,Research Director,3,frequently,1,1-5,Yes,80,515,98,13458,15146,188412,1,12,0,15,1,15,14,8,12,1,Low,3,Better,3,High,4,Very High,3,Excellent,3,High
RDO0057,No,35,30-39,Male,5,Doctor,Life Sciences,Married,Sales,specialist,Sales Executive,3,frequently,18,16-20,No,80,853,71,9069,11031,126966,1,22,1,9,3,9,8,1,8,2,Medium,2,Good,3,High,1,Low,4,Outstanding,4,Very High
RDO0058,No,35,30-39,Female,4,Master,Medical,Married,Research & Development,associate,Laboratory Technician,2,rarely,23,20+,Yes,80,1142,30,4014,16002,56196,3,15,1,4,3,2,2,2,2,3,High,3,Better,3,High,1,Low,3,Excellent,3,High
RDO0059,No,31,30-39,Male,4,Master,Life Sciences,Divorced,Research & Development,analyst,Laboratory Technician,2,rarely,7,6-10,No,80,655,48,5915,9528,82810,3,22,1,10,3,7,7,1,7,4,Very High,2,Good,3,High,4,Very High,4,Outstanding,4,Very High
RDO0060,No,37,30-39,Male,4,Master,Life Sciences,Divorced,Research & Development,analyst,Manufacturing Director,2,rarely,1,1-5,No,80,1115,51,5993,2689,83902,1,18,1,7,2,7,5,0,7,1,Low,4,Best,2,Medium,3,High,3,Excellent,3,High
RDO0061,No,32,30-39,Male,3,Bachelor,Medical,Married,Research & Development,analyst,Manufacturing Director,2,rarely,1,1-5,Yes,80,427,33,6162,10877,86268,1,22,1,9,3,9,8,7,8,1,Low,3,Better,3,High,4,Very High,4,Outstanding,2,Medium
RDO0062,No,38,30-39,Female,5,Doctor,Life Sciences,Single,Research & Development,analyst,Laboratory Technician,3,frequently,29,20+,No,80,653,50,2406,5456,33684,1,11,0,10,2,10,3,9,9,4,Very High,3,Better,3,High,4,Very High,3,Excellent,4,Very High
RDO0063,No,50,50-59,Female,2,College,Medical,Divorced,Research & Development,director,Research Director,2,rarely,7,6-10,Yes,80,989,43,18740,16701,262360,5,12,1,29,2,27,3,13,8,2,Medium,2,Good,2,Medium,3,High,3,Excellent,4,Very High
RDO0064,No,59,50-59,Female,3,Bachelor,Life Sciences,Single,Sales,specialist,Sales Executive,2,rarely,25,20+,No,80,1435,99,7637,2354,106918,7,11,0,28,3,21,16,7,9,1,Low,2,Good,3,High,1,Low,3,Excellent,4,Very High
RDO0065,No,36,30-39,Female,3,Bachelor,Technical Degree,Divorced,Research & Development,specialist,Healthcare Representative,2,rarely,8,6-10,No,80,1223,59,10096,8202,141344,1,13,3,17,2,17,14,12,8,3,High,3,Better,3,High,3,High,3,Excellent,2,Medium
RDO0066,No,55,50-59,Female,3,Bachelor,Medical,Divorced,Research & Development,manager,Manager,2,rarely,8,6-10,Yes,80,836,33,14756,19730,206584,2,14,3,21,2,5,0,0,2,4,Very High,3,Better,3,High,3,High,3,Excellent,3,High
RDO0067,No,36,30-39,Male,3,Bachelor,Life Sciences,Single,Research & Development,analyst,Manufacturing Director,3,frequently,11,11-15,No,80,1195,95,6499,22656,90986,1,13,0,6,3,6,5,0,3,2,Medium,3,Better,2,Medium,2,Medium,3,Excellent,3,High
RDO0068,No,45,40-49,Male,3,Bachelor,Life Sciences,Divorced,Research & Development,specialist,Research Scientist,2,rarely,7,6-10,No,80,1339,59,9724,18787,136136,2,17,1,25,2,1,0,0,0,2,Medium,3,Better,3,High,1,Low,3,Excellent,3,High
RDO0069,No,35,30-39,Male,3,Bachelor,Medical,Married,Research & Development,associate,Research Scientist,3,frequently,1,1-5,No,80,664,79,2194,5868,30716,4,13,1,5,2,3,2,1,2,2,Medium,2,Good,3,High,1,Low,3,Excellent,4,Very High
RDO0070,Yes,36,30-39,Male,3,Bachelor,Medical,Married,Research & Development,associate,Research Scientist,2,rarely,9,6-10,Yes,80,318,79,3388,21777,47432,0,17,1,2,0,1,0,0,0,4,Very High,2,Good,2,Medium,3,High,3,Excellent,1,Low
RDO0071,No,59,50-59,Female,1,Below College,Life Sciences,Single,Sales,analyst,Sales Executive,3,frequently,1,1-5,No,80,1225,57,5473,24668,76622,7,11,0,20,2,4,3,1,3,1,Low,2,Good,2,Medium,3,High,3,Excellent,4,Very High
RDO0072,No,29,18-29,Male,3,Bachelor,Life Sciences,Married,Research & Development,associate,Research Scientist,2,rarely,2,1-5,No,80,1328,76,2703,4956,37842,0,23,1,6,3,5,4,0,4,3,High,3,Better,3,High,2,Medium,4,Outstanding,4,Very High
RDO0073,No,31,30-39,Male,4,Master,Medical,Single,Research & Development,associate,Research Scientist,2,rarely,1,1-5,No,80,1082,87,2501,18775,35014,1,17,0,1,4,1,1,1,0,3,High,3,Better,3,High,2,Medium,3,Excellent,2,Medium
RDO0074,No,32,30-39,Male,3,Bachelor,Life Sciences,Married,Research & Development,analyst,Research Scientist,2,rarely,1,1-5,No,80,548,66,6220,7346,87080,1,17,2,10,3,10,4,0,9,2,Medium,3,Better,3,High,2,Medium,3,Excellent,2,Medium
RDO0075,No,36,30-39,Female,3,Bachelor,Life Sciences,Married,Research & Development,associate,Laboratory Technician,2,rarely,6,6-10,No,80,132,55,3038,22002,42532,3,12,0,5,3,1,0,0,0,2,Medium,3,Better,4,Very High,4,Very High,3,Excellent,2,Medium
RDO0076,No,31,30-39,Female,4,Master,Life Sciences,Single,Research & Development,analyst,Manufacturing Director,2,rarely,8,6-10,No,80,746,61,4424,20682,61936,1,23,0,11,2,11,7,1,8,3,High,3,Better,3,High,4,Very High,4,Outstanding,4,Very High
RDO0077,No,35,30-39,Male,4,Master,Marketing,Single,Sales,analyst,Sales Executive,2,rarely,1,1-5,No,80,776,32,4312,23016,60368,0,14,0,16,2,15,13,2,8,3,High,3,Better,2,Medium,1,Low,3,Excellent,2,Medium
RDO0078,No,45,40-49,Male,4,Master,Other,Married,Research & Development,specialist,Research Director,2,rarely,6,6-10,Yes,80,193,52,13245,15067,185430,4,14,0,17,3,0,0,0,0,4,Very High,4,Best,3,High,1,Low,3,Excellent,2,Medium
RDO0079,No,37,30-39,Male,4,Master,Medical,Single,Research & Development,specialist,Research Director,2,rarely,7,6-10,No,80,397,30,13664,25258,191296,4,13,0,16,3,5,2,0,2,1,Low,4,Best,3,High,3,High,3,Excellent,1,Low
RDO0080,No,46,40-49,Male,2,College,Medical,Divorced,Human Resources,analyst,Human Resources,2,rarely,5,6-10,Yes,80,945,80,5021,10425,70294,8,22,1,16,2,4,2,0,2,2,Medium,3,Better,3,High,2,Medium,4,Outstanding,4,Very High
RDO0081,No,30,30-39,Male,1,Below College,Life Sciences,Married,Research & Development,analyst,Laboratory Technician,2,rarely,1,1-5,Yes,80,852,55,5126,15998,71764,1,12,2,10,1,10,8,3,0,4,Very High,2,Good,2,Medium,4,Very High,3,Excellent,3,High
RDO0082,No,35,30-39,Male,3,Bachelor,Medical,Single,Research & Development,associate,Research Scientist,2,rarely,1,1-5,No,80,1214,30,2859,26278,40026,1,18,0,6,3,6,4,0,4,2,Medium,3,Better,2,Medium,3,High,3,Excellent,1,Low
RDO0083,No,55,50-59,Male,2,College,Life Sciences,Married,Sales,specialist,Sales Executive,2,rarely,1,1-5,No,80,111,70,10239,18092,143346,3,14,1,24,4,1,0,1,0,1,Low,3,Better,3,High,4,Very High,3,Excellent,4,Very High
RDO0084,No,38,30-39,Female,3,Bachelor,Medical,Divorced,Research & Development,analyst,Research Scientist,1,non travel,6,6-10,Yes,80,573,79,5329,15717,74606,7,12,3,17,3,13,11,1,9,2,Medium,3,Better,1,Low,4,Very High,3,Excellent,4,Very High
RDO0085,No,34,30-39,Male,2,College,Medical,Married,Research & Development,analyst,Manufacturing Director,2,rarely,1,1-5,No,80,1153,94,4325,17736,60550,1,15,0,5,2,5,2,1,3,1,Low,3,Better,3,High,2,Medium,3,Excellent,3,High
RDO0086,No,56,50-59,Male,3,Bachelor,Life Sciences,Single,Research & Development,specialist,Manufacturing Director,2,rarely,7,6-10,No,80,1400,49,7260,21698,101640,4,11,0,37,3,6,4,0,2,4,Very High,2,Good,1,Low,4,Very High,3,Excellent,1,Low
RDO0087,No,23,18-29,Male,1,Below College,Technical Degree,Divorced,Sales,associate,Sales Representative,2,rarely,2,1-5,No,80,541,62,2322,9518,32508,3,13,1,3,3,0,0,0,0,3,High,3,Better,3,High,1,Low,3,Excellent,3,High
RDO0088,No,51,50-59,Male,4,Master,Life Sciences,Married,Research & Development,associate,Laboratory Technician,2,rarely,9,6-10,No,80,432,96,2075,18725,29050,3,23,2,10,4,4,2,0,3,4,Very High,3,Better,3,High,4,Very High,4,Outstanding,2,Medium
RDO0089,No,30,30-39,Male,3,Bachelor,Life Sciences,Married,Research & Development,analyst,Healthcare Representative,2,rarely,2,1-5,No,80,288,99,4152,15830,58128,1,19,3,11,3,11,10,10,8,3,High,3,Better,2,Medium,4,Very High,3,Excellent,1,Low
RDO0090,Yes,46,40-49,Male,2,College,Medical,Single,Sales,specialist,Sales Executive,2,rarely,9,6-10,No,80,669,64,9619,13596,134666,1,16,0,9,3,9,8,4,7,3,High,3,Better,2,Medium,4,Very High,3,Excellent,4,Very High
RDO0091,No,40,40-49,Male,4,Master,Life Sciences,Married,Research & Development,manager,Healthcare Representative,3,frequently,1,1-5,No,80,530,78,13503,14115,189042,1,22,1,22,3,22,3,11,11,3,High,2,Good,2,Medium,2,Medium,4,Outstanding,4,Very High
RDO0092,No,51,50-59,Male,4,Master,Marketing,Single,Sales,analyst,Sales Executive,2,rarely,21,20+,Yes,80,632,71,5441,8423,76174,0,22,0,11,2,10,7,1,0,3,High,1,Bad,3,High,4,Very High,4,Outstanding,4,Very High
RDO0093,No,30,30-39,Female,2,College,Medical,Divorced,Sales,analyst,Sales Executive,2,rarely,4,1-5,Yes,80,1334,63,5209,19760,72926,1,12,3,11,4,11,8,2,7,3,High,2,Good,2,Medium,2,Medium,3,Excellent,2,Medium
RDO0094,No,46,40-49,Male,3,Bachelor,Medical,Married,Research & Development,specialist,Healthcare Representative,3,frequently,1,1-5,Yes,80,638,40,10673,3142,149422,2,13,1,21,5,10,9,9,5,3,High,2,Good,2,Medium,1,Low,3,Excellent,3,High
RDO0095,No,32,30-39,Male,4,Master,Medical,Single,Sales,analyst,Sales Executive,2,rarely,6,6-10,No,80,1093,87,5010,24301,70140,1,16,0,12,0,11,8,5,7,2,Medium,3,Better,3,High,3,High,3,Excellent,1,Low
RDO0096,No,54,50-59,Female,4,Master,Technical Degree,Married,Research & Development,specialist,Research Director,2,rarely,2,1-5,No,80,1217,60,13549,24001,189686,9,12,1,16,5,4,3,0,3,1,Low,1,Bad,3,High,3,High,3,Excellent,1,Low
RDO0097,No,24,18-29,Female,2,College,Other,Married,Sales,analyst,Sales Executive,2,rarely,3,1-5,No,80,1353,33,4999,17519,69986,0,21,1,4,2,3,2,0,2,1,Low,2,Good,3,High,3,High,4,Outstanding,1,Low
RDO0098,No,28,18-29,Male,3,Bachelor,Medical,Married,Sales,analyst,Sales Executive,1,non travel,4,1-5,No,80,120,43,4221,8863,59094,1,15,0,5,3,5,4,0,4,2,Medium,4,Best,3,High,3,High,3,Excellent,2,Medium
RDO0099,No,58,50-59,Male,4,Master,Medical,Single,Sales,manager,Sales Executive,2,rarely,10,11-15,No,80,682,37,13872,24409,194208,0,13,0,38,1,37,10,1,8,4,Very High,2,Good,3,High,3,High,3,Excellent,3,High
RDO0100,No,44,40-49,Male,3,Bachelor,Medical,Married,Research & Development,analyst,Laboratory Technician,1,non travel,23,20+,No,80,489,67,2042,25043,28588,4,12,1,17,3,3,2,1,2,2,Medium,4,Best,3,High,2,Medium,3,Excellent,3,High
RDO0101,Yes,37,30-39,Male,4,Master,Human Resources,Divorced,Human Resources,associate,Human Resources,2,rarely,6,6-10,Yes,80,807,63,2073,23648,29022,4,22,0,7,3,3,2,0,2,3,High,3,Better,3,High,1,Low,4,Outstanding,4,Very High
RDO0102,No,32,30-39,Male,1,Below College,Life Sciences,Single,Research & Development,associate,Research Scientist,2,rarely,1,1-5,No,80,827,71,2956,15178,41384,1,13,0,1,2,1,0,0,0,4,Very High,3,Better,3,High,1,Low,3,Excellent,4,Very High
RDO0103,Yes,20,18-29,Female,3,Bachelor,Life Sciences,Single,Research & Development,associate,Laboratory Technician,3,frequently,6,6-10,Yes,80,871,66,2926,19783,40964,1,18,0,1,5,1,0,1,0,4,Very High,3,Better,2,Medium,4,Very High,3,Excellent,2,Medium
RDO0104,No,34,30-39,Female,4,Master,Other,Single,Research & Development,analyst,Research Scientist,2,rarely,6,6-10,No,80,665,41,4809,12482,67326,1,14,0,16,3,16,13,2,10,1,Low,3,Better,3,High,3,High,3,Excellent,3,High
